indicator,n_obs,last_year,last_value,arima_order,log_scale_fit,arima_2030,arima_ci_low,arima_ci_high,ets_2030,confidence
life_expectancy_birth_yrs_who,22,2021,66.10178519,"(0, 2, 1)",False,64.82555570838832,60.351521850816816,69.29958956595982,65.51280791426439,"LOW (short series, n<25 -- interpret with caution)"
hale_birth_yrs,22,2021,57.88251828,"(0, 2, 1)",False,56.697457883774625,52.33074145516802,61.06417431238123,56.86691789105236,"LOW (short series, n<25 -- interpret with caution)"
u5mr_who,92,2023,37.064002829,"(2, 2, 0)",True,29.32402340474733,26.334445139397538,32.6529890449722,28.30822714120186,standard
ncd_premature_pct,22,2021,62.696838379,"(1, 0, 0)",True,63.201867817059544,60.187714604120956,66.36696744241509,61.90007261442641,"LOW (short series, n<25 -- interpret with caution)"
ncd_3070_probability_pct,22,2021,22.2,"(0, 1, 2)",True,21.86972742990163,19.885237528330137,24.05226375479739,20.917277494033936,"LOW (short series, n<25 -- interpret with caution)"
total_ncd_deaths,22,2021,101835.0,"(1, 1, 1)",True,119159.54614570407,102131.55421939972,139026.5481238814,114851.30061194855,"LOW (short series, n<25 -- interpret with caution)"
suicide_rate_crude_who,22,2021,5.316740355,"(1, 1, 0)",True,5.696240846291581,3.7812181142772805,8.581139410193051,5.372586688315319,"LOW (short series, n<25 -- interpret with caution)"
suicide_rate_agestd_who,22,2021,8.079291917,"(1, 1, 0)",True,8.350343085643999,5.335258858254842,13.0693245633391,8.106811567933372,"LOW (short series, n<25 -- interpret with caution)"
tb_incidence_per100k,25,2024,126.0,"(2, 1, 0)",True,108.24184319398286,103.06964993554054,113.67358505009099,108.14227864848992,standard
hiv_new_infections_n,25,2024,15000.0,"(1, 1, 2)",True,11409.12642672836,9255.77491296541,14063.45411865332,13166.99831119464,standard
hiv_new_infections_per1000,35,2024,0.47,"(2, 2, 0)",True,0.2967184509445886,0.18151987766532013,0.4850258840152185,0.354407229981065,standard
malaria_incidence_per1000atrisk,24,2023,193.9016715,"(2, 1, 0)",True,149.89452306827098,80.26546333181169,279.9257253768261,137.39317130045777,"LOW (short series, n<25 -- interpret with caution)"
oop_pct_che,23,2022,25.03213501,"(1, 0, 0)",True,32.77781065948643,22.78837603345428,47.146179703718275,23.5341050598226,"LOW (short series, n<25 -- interpret with caution)"
oop_percapita_usd,23,2022,20.60672545,"(1, 1, 0)",True,19.789308337121856,3.2879758399589916,119.10571838829716,22.46051337348797,"LOW (short series, n<25 -- interpret with caution)"
che_pct_gdp,23,2022,3.6993649,"(0, 1, 1)",True,3.695188822308475,1.2921603400408945,10.56712546376509,3.7553815615905544,"LOW (short series, n<25 -- interpret with caution)"
che_percapita_usd,23,2022,82.32108307,"(1, 1, 0)",True,74.2703222255951,13.220083470650628,417.2500707533165,89.9409603946728,"LOW (short series, n<25 -- interpret with caution)"
life_expectancy_birth_yrs_wb,64,2023,65.498,"(2, 2, 0)",False,67.64534610037299,65.66350891886562,69.62718328188036,67.77096649985107,standard
suicide_rate_wb,22,2021,5.32,"(1, 1, 0)",True,5.704881216225246,3.783865162404485,8.601170574101078,5.376414100452544,"LOW (short series, n<25 -- interpret with caution)"
che_pct_gdp_wb,23,2022,3.6993649,"(0, 1, 1)",True,3.695188822308475,1.2921603400408945,10.56712546376509,3.7553815615905544,"LOW (short series, n<25 -- interpret with caution)"
tfr_national_wb,64,2023,3.397,"(1, 1, 0)",True,3.2438687346512034,2.855866560902639,3.6845854465699364,3.2216820890631173,standard
pm25_exposure_wb,31,2020,54.2427873097724,"(0, 0, 1)",True,54.00017980815072,43.774106800554804,66.6151666463164,53.5522894476154,standard
