indicator,n_obs,best_order,fixed_111_converged,fixed_111_aicc,best_order_aicc,delta_aicc,near_tie
u5mr_who,92,"(2, 2, 0)",False,-852.7218239090607,-913.7918020129796,61.06997810391886,False
pm25_exposure_wb,31,"(0, 0, 1)",False,-47.99715040588953,-58.16779938032606,10.170648974436531,False
life_expectancy_birth_yrs_wb,64,"(2, 2, 0)",True,-40.68553344825936,-46.329841915684206,5.6443084674248425,False
oop_pct_che,23,"(1, 0, 0)",True,-5.324018906288648,-8.267504055438765,2.943485149150117,False
malaria_incidence_per1000atrisk,24,"(2, 1, 0)",True,-81.52863243635773,-84.23892942837023,2.710296992012502,False
che_pct_gdp,23,"(0, 1, 1)",True,-10.507999210691985,-13.159629485873106,2.6516302751811214,False
che_pct_gdp_wb,23,"(0, 1, 1)",True,-10.507999210691985,-13.159629485873106,2.6516302751811214,False
ncd_premature_pct,22,"(1, 0, 0)",True,-130.82743204983973,-133.12520926097565,2.297777211135923,False
suicide_rate_agestd_who,22,"(1, 1, 0)",True,-82.28454454557267,-84.54880484210206,2.264260296529386,False
oop_percapita_usd,23,"(1, 1, 0)",True,12.400234411396584,10.192787053887429,2.207447357509155,False
tfr_national_wb,64,"(1, 1, 0)",True,-434.8195820846418,-436.67977130349294,1.8601892188511329,True
che_percapita_usd,23,"(1, 1, 0)",True,-3.204195186862789,-4.9592644019567445,1.7550692150939553,True
life_expectancy_birth_yrs_who,22,"(0, 2, 1)",True,-38.174705141104305,-39.849401411375,1.6746962702706938,True
hale_birth_yrs,22,"(0, 2, 1)",True,-37.068487822049924,-38.41504795048737,1.3465601284374458,True
suicide_rate_wb,22,"(1, 1, 0)",True,-78.9596762128763,-79.40998926360511,0.4503130507288091,True
tb_incidence_per100k,25,"(2, 1, 0)",True,-180.15964126017073,-180.5709361974464,0.41129493727567024,True
suicide_rate_crude_who,22,"(1, 1, 0)",True,-78.79941949957737,-79.20292920461063,0.4035097050332581,True
ncd_3070_probability_pct,22,"(0, 1, 2)",True,-128.22842880747368,-128.23499274119902,0.006563933725345805,True
total_ncd_deaths,22,"(1, 1, 1)",True,-130.5320852561389,-130.5320852561389,0.0,True
hiv_new_infections_per1000,35,"(2, 2, 0)",False,-104.43138198746134,-103.28603004710358,-1.145351940357756,True
hiv_new_infections_n,25,"(1, 1, 2)",False,-89.41941924428465,-87.92015528580323,-1.4992639584814214,True
